MINEIROS;75830000;JATAI;1824
MORRINHOS;75650000;MORRINHOS;5208
NIQUELANDIA;76420000;URUACU;1197
NOVA ROMA;73820000;POSSE;223
NOVA VENEZA;75470000;ANAPOLIS;825
OUVIDOR;75715000;CATALAO;245
PANAMA;75580000;ITUMBIARA;320
PARAUNA;75980000;SAO LUIS;1380
PIRACANJUBA;75640000;MORRINHOS;2836
PLANALTINA;NULL;FORMOSA;125
PONTALINA;75620000;MORRINHOS;1872
RIO QUENTE;75695000;MORRINHOS;12
SANTO ANTONIO DE GOIAS;75375000;METROPOLITANA;5
SILVANIA;75180000;ANAPOLIS;2490
SIMOLANDIA;73930000;POSSE;22
TRINDADE;NULL;METROPOLITANA;3556
AGUA LIMPA;75665000;ITUMBIARA;246
ALEXANIA;72930000;ANAPOLIS;96
ALTO HORIZONTE;76560000;URUACU;10
ANHANGUERA;75770000;CATALAO;129
BRAZABRANTES;75440000;METROPOLITANA;226
CABECEIRAS;73870000;FORMOSA;62
CACHOEIRA ALTA;75870000;RIO VERDE;350
CAMPINORTE;76410000;URUACU;340
CASTELANDIA;75925000;RIO VERDE;46
CERES;76300000;CERES;7172
CORUMBAIBA;75680000;CATALAO;772
FAINA;76740000;GOIAS;131
FIRMINOPOLIS;76105000;SAO LUIS;1798
GOIANIRA;75370000;METROPOLITANA;851
IACIARA;73920000;POSSE;285
ITABERAI;76630000;GOIAS;4209
JARAGUA;76330000;GOIANESIA;2946
JAUPACI;76210000;IPORA;164
MOZARLANDIA;76700000;GOIAS;444
MUNDO NOVO;76530000;PORANGATU;91
NOVO PLANALTO;76580000;PORANGATU;17
OURO VERDE DE GOIAS;75165000;ANAPOLIS;268
PORANGATU;76550000;PORANGATU;3906
PORTEIRAO;75603000;RIO VERDE;14
RIANAPOLIS;76315000;CERES;239
SANTA BARBARA DE GOIAS;75398000;METROPOLITANA;222
SANTA RITA DO ARAGUAIA;75840000;JATAI;98
SAO LUIZ DO NORTE;76365000;CERES;49
SENADOR CANEDO;NULL;METROPOLITANA;255
ACREUNA;75960000;RIO VERDE;486
AMORINOPOLIS;76140000;IPORA;427
ANICUNS;76170000;SAO LUIS;3194
ARAGARCAS;76240000;IPORA;245
BONFINOPOLIS;75195000;METROPOLITANA;214
CACHOEIRA DE GOIAS;76125000;IPORA;293
CALDAZINHA;75245000;METROPOLITANA;10
CIDADE OCIDENTAL;NULL;LUZIANIA;5
COCALZINHO DE GOIAS;72975000;ANAPOLIS;19
CRISTALINA;73850000;LUZIANIA;466
EDEALINA;75945000;METROPOLITANA;56
FAZENDA NOVA;76220000;IPORA;746
FORMOSO;76470000;URUACU;673
GOIANAPOLIS;75170000;ANAPOLIS;516
